name:string,address:string,rating:float,city:string,state_code:string,longitude:float,latitude:float,cuisine_type:string
1011 Sip TEA SF,"2127 Irving St, San Francisco, CA 94122, United States",4.4,San Francisco,CA,-122.4808785,37.7632824,boba
21 Taste House,"1109 Ocean Ave, San Francisco, CA 94112, United States",4.3,San Francisco,CA,-122.4544376,37.7233872,japanese
4505 Burgers & BBQ,"705 Divisadero St, San Francisco, CA 94117, United States",4.3,San Francisco,CA,-122.4382157,37.7761885,comfort food
54 Mint Ristorante Italiano,"16 Mint Plaza, San Francisco, CA 94103, United States",4.4,San Francisco,CA,-122.4079406,37.7825956,italian
620 Jones,"620 Jones St, San Francisco, CA 94102, United States",4.3,San Francisco,CA,-122.412987,37.787177,bar
a Mano,"450 Hayes St, San Francisco, CA 94102, United States",4.4,San Francisco,CA,-122.4239917,37.7768654,italian
A-1 Bakery,"1727 Ocean Ave, San Francisco, CA 94112, United States",4.3,San Francisco,CA,-122.4607446,37.724727,bakery
Absinthe Brasserie & Bar,"398 Hayes St, San Francisco, CA 94102, United States",4.4,San Francisco,CA,-122.4228126,37.7771426,bar
ABV,"3174 16th St, San Francisco, CA 94103, United States",4.5,San Francisco,CA,-122.4235562,37.7649464,bar
Akiko's Sushi Bar and Restaurant,"542A Mason St, San Francisco, CA 94102, United States",4.3,San Francisco,CA,-122.410018,37.7887173,japanese
Akira Japanese Restaurant,"1634 Bush St, San Francisco, CA 94109, United States",4.5,San Francisco,CA,-122.4241903,37.7883383,japanese
Alice's,"1599 Sanchez St, San Francisco, CA 94131, United States",4.4,San Francisco,CA,-122.4287683,37.7436934,chinese
Al's Super Cafe,"3286 Mission St, San Francisco, CA 94110, United States",4.3,San Francisco,CA,-122.4209255,37.744299,diner
Amami Sushi Bistro SF,"4435 Mission St, San Francisco, CA 94112, United States",4.3,San Francisco,CA,-122.4326684,37.727131,japanese
Amorino Gelato,"338 Grant Ave, San Francisco, CA 94108, United States",4.6,San Francisco,CA,-122.4054354,37.7902809,ice cream and frozen
An Chi Vietnamese Cuisine,"4683 Mission St, San Francisco, CA 94112, United States",4.3,San Francisco,CA,-122.435653,37.7233636,vietnamese
